#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P06730	uniprotkb:Q7L576	intact:EBI-73440|dip:DIP-22N|uniprotkb:D6RCQ6|uniprotkb:B7Z6V1|uniprotkb:Q96E95	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:if4e_human(display_long)|uniprotkb:EIF4EL1(gene name synonym)|uniprotkb:EIF4F(gene name synonym)|uniprotkb:mRNA cap-binding protein(gene name synonym)|uniprotkb:eIF-4F 25 kDa subunit(gene name synonym)|uniprotkb:EIF4E(gene name)|psi-mi:EIF4E(display_short)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2000653|imex:IM-12126-1	intact-miscore:0.44
chebi:"CHEBI:50210"	uniprotkb:Q7TMB8	intact:EBI-1788056	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:7-methyl-gtp(display_short)|psi-mi:"CHEBI:50210"(display_long)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0096"(pull down)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:-2(chemical synthesis)|taxid:-2("Chemical synthesis (Chemical synthesis)")	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2001098|imex:IM-12126-14	intact-miscore:0.35
chebi:"CHEBI:50210"	uniprotkb:Q7L576	intact:EBI-1788056	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:7-methyl-gtp(display_short)|psi-mi:"CHEBI:50210"(display_long)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:-2(chemical synthesis)|taxid:-2("Chemical synthesis (Chemical synthesis)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2009768|imex:IM-12126-15	intact-miscore:0.52
uniprotkb:P35922	uniprotkb:Q7TMB8	intact:EBI-645094	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:fmr1_mouse(display_long)|uniprotkb:Fragile X mental retardation protein 1 homolog(gene name synonym)|uniprotkb:Fmr1(gene name)|psi-mi:Fmr1(display_short)|uniprotkb:Fmr-1(gene name synonym)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2000515|imex:IM-12126-2	intact-miscore:0.58
uniprotkb:P63073	uniprotkb:Q7L576	intact:EBI-2000006|uniprotkb:P20415	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:if4e_mouse(display_long)|uniprotkb:Eif4e(gene name)|psi-mi:Eif4e(display_short)|uniprotkb:eIF-4F 25 kDa subunit(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2000573|imex:IM-12126-3	intact-miscore:0.52
chebi:"CHEBI:50210"	uniprotkb:Q7L576	intact:EBI-1788056	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:7-methyl-gtp(display_short)|psi-mi:"CHEBI:50210"(display_long)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:-2(chemical synthesis)|taxid:-2("Chemical synthesis (Chemical synthesis)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2000594|imex:IM-12126-16	intact-miscore:0.52
uniprotkb:P63073	uniprotkb:Q7L576	intact:EBI-2000006|uniprotkb:P20415	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:if4e_mouse(display_long)|uniprotkb:Eif4e(gene name)|psi-mi:Eif4e(display_short)|uniprotkb:eIF-4F 25 kDa subunit(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2000674|imex:IM-12126-4	intact-miscore:0.52
uniprotkb:P63073	uniprotkb:Q7TMB8	intact:EBI-2000006|uniprotkb:P20415	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:if4e_mouse(display_long)|uniprotkb:Eif4e(gene name)|psi-mi:Eif4e(display_short)|uniprotkb:eIF-4F 25 kDa subunit(gene name synonym)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0416"(fluorescence microscopy)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2000707|imex:IM-12126-5	intact-miscore:0.63
uniprotkb:P63073	uniprotkb:Q7TMB8	intact:EBI-2000006|uniprotkb:P20415	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:if4e_mouse(display_long)|uniprotkb:Eif4e(gene name)|psi-mi:Eif4e(display_short)|uniprotkb:eIF-4F 25 kDa subunit(gene name synonym)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Napoli et al. (2008)	pubmed:18805096|imex:IM-12126	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2001106|imex:IM-12126-8	intact-miscore:0.63
uniprotkb:Q62108	uniprotkb:Q5SQX6	intact:EBI-300895|uniprotkb:Q5NCV5|uniprotkb:Q5NCV6|uniprotkb:Q5NCV7|uniprotkb:Q91WJ1	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	psi-mi:dlg4_mouse(display_long)|uniprotkb:Dlg4(gene name)|psi-mi:Dlg4(display_short)|uniprotkb:Dlgh4(gene name synonym)|uniprotkb:Psd95(gene name synonym)|uniprotkb:Postsynaptic density protein 95(gene name synonym)|uniprotkb:Synapse-associated protein 90(gene name synonym)	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	-	pubmed:19455133|imex:IM-11694	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2307988|imex:IM-11694-22	intact-miscore:0.53
uniprotkb:Q5S007	uniprotkb:Q7L576	intact:EBI-5323863|uniprotkb:A6NJU2|uniprotkb:Q6ZS50|uniprotkb:Q8NCX9	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:lrrk2_human(display_long)|uniprotkb:LRRK2(gene name)|psi-mi:LRRK2(display_short)|uniprotkb:PARK8(gene name synonym)|uniprotkb:Dardarin(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Lee et al. (2019)	pubmed:31046837|imex:IM-26684	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21360986|imex:IM-26684-48	intact-miscore:0.53
uniprotkb:P14404	uniprotkb:Q7L576	intact:EBI-1994523|uniprotkb:G3UWT0|uniprotkb:Q9Z1L8	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:mecom_mouse(display_long)|uniprotkb:Mds1(gene name synonym)|uniprotkb:Myelodysplasia syndrome 1 protein homolog(gene name synonym)|uniprotkb:Mecom(gene name)|psi-mi:Mecom(display_short)|uniprotkb:Evi1(gene name synonym)|uniprotkb:Ecotropic virus integration site 1 protein(gene name synonym)|uniprotkb:MDS1 and EVI1 complex locus protein(gene name synonym)|uniprotkb:Prdm3(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Ivanochko et al. (2018)	pubmed:30462309|imex:IM-26659|doi:10.1093/nar/gky1192	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT)	intact:EBI-21028244|imex:IM-26659-24	intact-miscore:0.35
uniprotkb:P30559	uniprotkb:Q96F07	intact:EBI-11724233|uniprotkb:Q15071	intact:EBI-2433893|uniprotkb:A6NLT2|uniprotkb:Q53EN5|uniprotkb:Q9NTK4|uniprotkb:Q9ULQ2|uniprotkb:Q9UN29|uniprotkb:D3DQJ3	psi-mi:oxyr_human(display_long)|uniprotkb:OXTR(gene name)|psi-mi:OXTR(display_short)	psi-mi:cyfp2_human(display_long)|uniprotkb:CYFIP2(gene name)|psi-mi:CYFIP2(display_short)|uniprotkb:KIAA1168(gene name synonym)|uniprotkb:PIR121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)	psi-mi:"MI:0112"(ubiquitin reconstruction)	Sokolina et al. (2017)	pubmed:28298427|doi:10.15252/msb.20167430|imex:IM-26539	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-20811004|imex:IM-26539-520	intact-miscore:0.37
uniprotkb:Q62108	uniprotkb:Q5SQX6	intact:EBI-300895|uniprotkb:Q5NCV5|uniprotkb:Q5NCV6|uniprotkb:Q5NCV7|uniprotkb:Q91WJ1	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	psi-mi:dlg4_mouse(display_long)|uniprotkb:Dlg4(gene name)|psi-mi:Dlg4(display_short)|uniprotkb:Dlgh4(gene name synonym)|uniprotkb:Psd95(gene name synonym)|uniprotkb:Postsynaptic density protein 95(gene name synonym)|uniprotkb:Synapse-associated protein 90(gene name synonym)	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16724752|imex:IM-26285-1	intact-miscore:0.53
uniprotkb:Q62108	uniprotkb:Q7TMB8	intact:EBI-300895|uniprotkb:Q5NCV5|uniprotkb:Q5NCV6|uniprotkb:Q5NCV7|uniprotkb:Q91WJ1	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:dlg4_mouse(display_long)|uniprotkb:Dlg4(gene name)|psi-mi:Dlg4(display_short)|uniprotkb:Dlgh4(gene name synonym)|uniprotkb:Psd95(gene name synonym)|uniprotkb:Postsynaptic density protein 95(gene name synonym)|uniprotkb:Synapse-associated protein 90(gene name synonym)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16724752|imex:IM-26285-1	intact-miscore:0.35
uniprotkb:Q9D415	uniprotkb:Q5SQX6	intact:EBI-400152|uniprotkb:Q52KF6|uniprotkb:Q5DTK5|uniprotkb:Q6P6N4|uniprotkb:Q6XBF4|uniprotkb:Q8BZL7|uniprotkb:Q8BZQ1|uniprotkb:Q8C0G0	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	psi-mi:dlgp1_mouse(display_long)|uniprotkb:Dlgap1(gene name)|psi-mi:Dlgap1(display_short)|uniprotkb:Guanylate kinase-associated protein(gene name synonym)|uniprotkb:SAP90/PSD-95-associated protein 1(gene name synonym)|uniprotkb:PSD-95/SAP90-binding protein 1(gene name synonym)|uniprotkb:Kiaa4162(gene name synonym)|uniprotkb:Gkap(gene name synonym)	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16725590|imex:IM-26285-41	intact-miscore:0.35
uniprotkb:Q9D415	uniprotkb:Q7TMB8	intact:EBI-400152|uniprotkb:Q52KF6|uniprotkb:Q5DTK5|uniprotkb:Q6P6N4|uniprotkb:Q6XBF4|uniprotkb:Q8BZL7|uniprotkb:Q8BZQ1|uniprotkb:Q8C0G0	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:dlgp1_mouse(display_long)|uniprotkb:Dlgap1(gene name)|psi-mi:Dlgap1(display_short)|uniprotkb:Guanylate kinase-associated protein(gene name synonym)|uniprotkb:SAP90/PSD-95-associated protein 1(gene name synonym)|uniprotkb:PSD-95/SAP90-binding protein 1(gene name synonym)|uniprotkb:Kiaa4162(gene name synonym)|uniprotkb:Gkap(gene name synonym)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16725590|imex:IM-26285-41	intact-miscore:0.35
uniprotkb:Q4ACU6	uniprotkb:Q5SQX6	intact:EBI-771450|uniprotkb:Q69ZD8|intact:EBI-8401154|intact:MINT-4130064|uniprotkb:F8S0X0|uniprotkb:F8S0X2|uniprotkb:F8S0X3|uniprotkb:F8S0X5|uniprotkb:F8S0X6|uniprotkb:Q9JJZ3|uniprotkb:S6BMD3|uniprotkb:S6CCV8	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	psi-mi:shan3_mouse(display_long)|uniprotkb:Prosap2(gene name synonym)|uniprotkb:Proline-rich synapse-associated protein 2(gene name synonym)|uniprotkb:SPANK-2(gene name synonym)|uniprotkb:Shank3(gene name)|psi-mi:Shank3(display_short)|uniprotkb:Kiaa1650(gene name synonym)	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16726570|imex:IM-26285-21	intact-miscore:0.50
uniprotkb:Q4ACU6	uniprotkb:Q7TMB8	intact:EBI-771450|uniprotkb:Q69ZD8|intact:EBI-8401154|intact:MINT-4130064|uniprotkb:F8S0X0|uniprotkb:F8S0X2|uniprotkb:F8S0X3|uniprotkb:F8S0X5|uniprotkb:F8S0X6|uniprotkb:Q9JJZ3|uniprotkb:S6BMD3|uniprotkb:S6CCV8	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:shan3_mouse(display_long)|uniprotkb:Prosap2(gene name synonym)|uniprotkb:Proline-rich synapse-associated protein 2(gene name synonym)|uniprotkb:SPANK-2(gene name synonym)|uniprotkb:Shank3(gene name)|psi-mi:Shank3(display_short)|uniprotkb:Kiaa1650(gene name synonym)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16726570|imex:IM-26285-21	intact-miscore:0.35
uniprotkb:Q3UHD9	uniprotkb:Q5SQX6	intact:EBI-771911|uniprotkb:Q5DU45	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	psi-mi:agap2_mouse(display_long)|uniprotkb:Kiaa0167(gene name synonym)|uniprotkb:Phosphatidylinositol 3-kinase enhancer(gene name synonym)|uniprotkb:Agap2(gene name)|psi-mi:Agap2(display_short)|uniprotkb:Centg1(gene name synonym)|uniprotkb:Centaurin-gamma-1(gene name synonym)	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wilkinson et al. (2017)	pubmed:28706196|doi:10.1038/s41598-017-05588-3|imex:IM-26370	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16736255|imex:IM-26370-1	intact-miscore:0.35
uniprotkb:Q3UHD9	uniprotkb:Q7TMB8	intact:EBI-771911|uniprotkb:Q5DU45	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:agap2_mouse(display_long)|uniprotkb:Kiaa0167(gene name synonym)|uniprotkb:Phosphatidylinositol 3-kinase enhancer(gene name synonym)|uniprotkb:Agap2(gene name)|psi-mi:Agap2(display_short)|uniprotkb:Centg1(gene name synonym)|uniprotkb:Centaurin-gamma-1(gene name synonym)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wilkinson et al. (2017)	pubmed:28706196|doi:10.1038/s41598-017-05588-3|imex:IM-26370	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16736255|imex:IM-26370-1	intact-miscore:0.53
